game_id,game_fmt,game_type,field_content,game_length,name1,name2,result_type,winner
duell-2014.3-51,.xml,duell,AAAEAAMAAAAAAAAAAAAAAAAAAAAAAAEKDALBCABDAA__AA__AAAA__AA__AAAAAAAPAANAANAPAAAAAXAAAAAAYAAAQAOAWAAAQA,63,Player 1,Player 2,1,1
duell-2014.4-1649,.xml,duell,AADAAAAEKMAAAAAAABCLAADAAAAAEBAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAANWAAAAAAPNYPAAAAAAXQQAAAAAAAAO,205,Player 1,Player 2,0,2
duell-2014.9-1262,.xml,duell,AAAAAAAEMBAAAAAAAADBAAAAAAAAAAADAACKAALEAA__AA__AAAA__AA__AAQXWAAAAAAAYOAAAAAAAANQAAAAAAAANPPAAAAAAA,68,Player 1,Player 2,3,2
duell-2014.6-1658,.xml,duell,AAAAAAAAAAAAAAAAAAAADAAAMBAACDELAABKAAEAAA__AA__AAAA__AA__AAPAOXAPAWAAAAAAAAAAAAAAAQAYQAAAAAAANNAAAA,1,Player 1,Player 2,4,2
duell-2014.6-1683,.xml,duell,AAAAAAAABMAAAAAAAAACAAAADAADAKAAAAEBAALEAA__AA__AAAA__AA__AAPQAAXQAAPAWAAAAAAAAANOAAAAAAAAYNAAAAAAAA,154,Player 1,Player 2,3,2
duell-2014.8-317,.xml,duell,AAAAAAAABMAAAAAAAADBAAAAAAAAAADEAAEKAACLAA__AA__AAAA__AA__AAAAAAQNOAWXAAAAAPAAAQAAAAAAAAAPAAAAAAAAYN,69,Player 1,Player 2,1,1
duell-2015.1-2005,.xml,duell,MBBDAAAAAAEELAAAAAAAKCAAAAAAAAADAAAAAAAAAA__AA__AAAA__AA__AAAWAAOPAPXQAAAAAAAAAQAAAAAAAAANAAAAAAAANY,125,Player 1,Player 2,3,2
duell-2014.8-2352,.xml,duell,AAAAAAAAAAAAAAAAAAAAAAABCAAAAABKAMLEDADEAA__AA__AAAA__AA__AAQPYNWQAAAAAXNAOPAAAAAAAAAAAAAAAAAAAAAAAA,34,Player 1,Player 2,1,2
duell-2014.10-793,.xml,duell,ALAEAAKMAACAADEAADAAABBAAAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAQXWAAAAAAAYOAAAAAAAANQAAAAAAAANPPAAAAAAA,72,Player 1,Player 2,1,2
duell-2014.10-1612,.xml,duell,AAAAAAAABMAAAAAAAAABAEAADAAACAAEAAAALAKDAA__AA__AAAA__AA__AAAAAOAAAAAAPWXPAAAAAAQNNAAAAAAAYQAAAAAAAA,143,Player 1,Player 2,1,1
duell-2014.4-2598,.xml,duell,AAAAAAAAADAAAAAAAEEDAAAAAAACKLAAAAAAAMBBAA__AA__AAAA__AA__AAAAAAAAAAAAQWXYNNOQAAAAAAAAPPAAAAAAAAAAAA,6,Player 1,Player 2,3,1
duell-2014.8-2428,.xml,duell,ADAAAAAAAAMBAAAAAAAAACKAEAAAAAEALBAAAADAAA__AA__AAAA__AA__AAQNNYQXAAAPAPAAOWAAAAAAAAAAAAAAAAAAAAAAAA,75,Player 1,Player 2,1,1
duell-2014.10-2243,.xml,duell,AAAAAAAALBAAADAAAADMAAAAAAABAEAAAAAAACKEAA__AA__AAAA__AA__AAAAAAAAAOQWAAAAAAAXPPAAAAAAAAQNAAAAAAAANY,116,Player 1,Player 2,0,2
duell-2014.4-387,.xml,duell,AAADCEAAAAAMAAKAAADAABAAAAAABAAAALAAEAAAAA__AA__AAAA__AA__AAXAAANAAAAPAAAAAAWANAQAAYAAAAAAAPAAAAAQAO,5,Player 1,Player 2,1,1
duell-2014.8-2303,.xml,duell,AAAAAAAAAAAAAAAAAAAAAAAACLAAEDMAAEKDAABBAA__AA__AAAA__AA__AAPPAANQONXQAAAAAWAAYAAAAAAAAAAAAAAAAAAAAA,2,Player 1,Player 2,1,2
duell-2014.10-2597,.xml,duell,AAAAAAAABMAAAAAAAEABAAAAADCAAAAAAAADLAKEAA__AA__AAAA__AA__AAAQAAAOAAAAQAPAPAAAAANXAAAAAAAAYNWAAAAAAA,89,Player 1,Player 2,3,2
duell-2014.9-1284,.xml,duell,AAAAAAAADBAAAAAAAAADAAAAAAAAAAKCEALEAABMAA__AA__AAAA__AA__AAAAAPAAAAAAAAAAQAAAAAAAPYWAAAAAAXNNQOAAAA,67,Player 1,Player 2,0,2
duell-2014.10-1335,.xml,duell,AAAAAAAABMAAAAAAAADBAAAAAAAAADEAALAKCAAEAA__AA__AAAA__AA__AAAAAAAAAXAPAAAAAAPAWOAAAAAAAQANAAAAAAQANY,50,Player 1,Player 2,3,1
duell-2014.3-1242,.xml,duell,AMAAAADABCAADAAEAAABAAEKLAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAAQPNOWYXNPQ,113,Player 1,Player 2,1,1
duell-2014.4-363,.xml,duell,AAAAAAAAAAAAAAAAAAAAAAAELMKAAADAADBBCAAEAA__AA__AAAA__AA__AAAAAQAAXAAAANAAAAAANAAPAAAWAAYAAAAAQOPAAA,72,Player 1,Player 2,1,2
duell-2014.4-2267,.xml,duell,CAAAAAAAAEELAAAAAADMBDAAAAAAKBAAAAAAAAAAAA__AA__AAAA__AA__AAAAAAAAAAAAAQAAAAAAQAAANWAANXAAAPAOAAYAPA,5,Player 1,Player 2,1,1
duell-2014.10-1113,.xml,duell,AAAAAAAABMAAAAAAAAECAAADAAAAADAAAEAAABKLAA__AA__AAAA__AA__AAWAAQAAAAAAOAXAPAAAAANQAAAAAAAAYNAPAAAAAA,88,Player 1,Player 2,3,2
duell-2014.8-302,.xml,duell,AAAAAAAAAAAAKAAAAAAAAAADACLAAAAAABMEEADBAA__AA__AAAA__AA__AAQWYAQPAAANAONAAXAAAPAAAAAAAAAAAAAAAAAAAA,62,Player 1,Player 2,1,2
duell-2014.4-1696,.xml,duell,AAAAEMEBKAAAAALBDCDAAAAAAAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AANAAQAAAQAAAAXAAAAWAAPAAAAOAAAAYPANAAAAAA,159,Player 1,Player 2,1,1
duell-2014.8-226,.xml,duell,AAAAAAAAAAAAAAAAAAAAECAAMAAALADKAABBAADEAA__AA__AAAA__AA__AAPAAAWNAAPQAAAQOYNAXAAAAAAAAAAAAAAAAAAAAA,32,Player 1,Player 2,1,2
duell-2014.9-1589,.xml,duell,AABMECAAAAADDBAKEAAAAAAALAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAWOAAXQAAPQAAAAAAAAAANPAAAAAAAANYAAAAAAAA,36,Player 1,Player 2,3,2
duell-2014.10-476,.xml,duell,AKBAAAAAAAEAAEAAAAAAAAADAAMALAAAAAABDCAAAA__AA__AAAA__AA__AAQXWAAAAAAAYOAAAAAAAANQPAAAAAAANPAAAAAAAA,70,Player 1,Player 2,1,2
duell-2014.8-46,.xml,duell,AAAAAAAAAAAAAAAAAAAAAAAAMCEAAABDAABKEALDAA__AA__AAAA__AA__AAPQNYPXQAAAOWANAAAAAAAAAAAAAAAAAAAAAAAAAA,22,Player 1,Player 2,3,2
duell-2014.9-1107,.xml,duell,AABMCADAAAAAKBEEDAAAAAAALAAAAAAAAAAAAAAAAA__AA__AAAA__AA__AAQXWPAAAAAAYOAAAAAAAANQAAAAAAAANPAAAAAAAA,54,Player 1,Player 2,3,2
duell-2014.4-593,.xml,duell,AAAAAAAAAAAAAAAAAAAAAAAAAAAAAAKBECDBEMDLAA__AA__AAAA__AA__AAAAAAPXAAAAAAAAAAAAAANWAAAAAAQPYNAAAAAAOQ,62,Player 1,Player 2,1,2
duell-2014.9-2275,.xml,duell,AAAAAAAEDBAAAAAAACDAAAAAAAAAAALEAAAKAAMBAA__AA__AAAA__AA__AAQAXPAPAAAWOQAAAAAAAANAAAAAAAAAYNAAAAAAAA,48,Player 1,Player 2,3,2
duell-2014.8-2002,.xml,duell,AAAAAAAAAAAAAAAAAAAAAAAABCAAAAEBMKELDAADAA__AA__AAAA__AA__AAPQYNPWAAAAAXNAQOAAAAAAAAAAAAAAAAAAAAAAAA,19,Player 1,Player 2,3,2
